Frame Number,Timestamp,Vehicle ID,Vehicle BBox,Plate BBox,Plate Text,Plate Confidence,Vehicle Image Path,Plate Image Path
1,00:00:00,1,"(141, 0, 583, 241)","(315, 146, 458, 190)",BR01EZ2264,0.8954361196749032,E:/github/license_plate_detections/vehicle_image/1_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/1_1_plate_rotated.jpg
4,00:00:00,1,"(145, 0, 584, 242)","(318, 147, 460, 190)",BR01EZ2264,0.6691548548647451,E:/github/license_plate_detections/vehicle_image/4_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/4_1_plate_rotated.jpg
5,00:00:00,1,"(146, 0, 585, 242)","(317, 146, 461, 190)",BR03EZ2264,0.635783800153114,E:/github/license_plate_detections/vehicle_image/5_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/5_1_plate_rotated.jpg
7,00:00:00,1,"(149, 0, 585, 242)","(320, 147, 463, 191)",BR01EZ2264,0.8107530857947003,E:/github/license_plate_detections/vehicle_image/7_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/7_1_plate_rotated.jpg
8,00:00:00,1,"(150, 0, 585, 242)","(321, 148, 464, 192)",BR01EZ2264,0.7432354889537554,E:/github/license_plate_detections/vehicle_image/8_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/8_1_plate_rotated.jpg
9,00:00:00,1,"(150, 0, 586, 243)","(322, 148, 464, 192)",BR01EZ2264,0.5288479571611487,E:/github/license_plate_detections/vehicle_image/9_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/9_1_plate_rotated.jpg
10,00:00:00,1,"(152, 0, 586, 243)","(323, 148, 465, 193)",BR01EZ2264,0.5564986760765237,E:/github/license_plate_detections/vehicle_image/10_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/10_1_plate_rotated.jpg
11,00:00:00,1,"(152, 0, 587, 243)","(324, 148, 465, 192)",BR01EZ2264,0.5768576721296581,E:/github/license_plate_detections/vehicle_image/11_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/11_1_plate_rotated.jpg
12,00:00:00,1,"(155, 0, 588, 242)","(325, 148, 466, 191)",BR01EZ2264,0.9469162539572182,E:/github/license_plate_detections/vehicle_image/12_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/12_1_plate_rotated.jpg
13,00:00:00,1,"(156, 0, 588, 242)","(325, 148, 467, 191)",BR01EZ2264,0.484209830290745,E:/github/license_plate_detections/vehicle_image/13_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/13_1_plate_rotated.jpg
14,00:00:00,1,"(158, 0, 588, 242)","(326, 148, 468, 191)",BR01EZ2264,0.5523940289286711,E:/github/license_plate_detections/vehicle_image/14_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/14_1_plate_rotated.jpg
15,00:00:00,1,"(158, 0, 588, 242)","(327, 148, 468, 191)",BR01EZ2264,0.6960757619745639,E:/github/license_plate_detections/vehicle_image/15_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/15_1_plate_rotated.jpg
17,00:00:00,1,"(159, 0, 588, 242)","(328, 148, 468, 191)",BR01EZ2264,0.9064128299754782,E:/github/license_plate_detections/vehicle_image/17_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/17_1_plate_rotated.jpg
18,00:00:00,1,"(159, 0, 587, 242)","(327, 147, 468, 190)",BR01EZ2264,0.8100733929546126,E:/github/license_plate_detections/vehicle_image/18_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/18_1_plate_rotated.jpg
19,00:00:00,1,"(158, 0, 587, 241)","(328, 147, 467, 190)",BR01EZ2264,0.7738499099390457,E:/github/license_plate_detections/vehicle_image/19_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/19_1_plate_rotated.jpg
20,00:00:00,1,"(158, 0, 587, 241)","(328, 147, 467, 190)",BR01EZ2264,0.6878495295104015,E:/github/license_plate_detections/vehicle_image/20_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/20_1_plate_rotated.jpg
21,00:00:00,1,"(158, 0, 586, 241)","(328, 147, 467, 190)",BR01EZ2264,0.6275655402766771,E:/github/license_plate_detections/vehicle_image/21_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/21_1_plate_rotated.jpg
22,00:00:00,1,"(159, 0, 586, 241)","(328, 146, 467, 190)",BR01EZ2264,0.6237469342021194,E:/github/license_plate_detections/vehicle_image/22_1_vehicle.jpg,E:/github/license_plate_detections/license_plate_images/22_1_plate_rotated.jpg
