               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12024,            0.014709,            0.031095,           0.0026207,             0.79525,           0.0039538,          0.00071372,            0.084844,           0.0086622,            0.020331,              0.0973,              0.0003,              0.0003
                   1,             0.11347,            0.014927,            0.031288,           0.0031217,             0.94118,           0.0054982,           0.0011626,            0.082299,           0.0090575,            0.020123,            0.093699,          0.00069861,          0.00069861
                   2,             0.10329,            0.018616,            0.029092,           0.0031875,             0.95588,           0.0072355,            0.001644,            0.076325,           0.0099378,            0.019885,            0.090096,           0.0010956,           0.0010956
                   3,            0.093319,            0.020759,            0.030373,            0.003294,             0.98529,           0.0092422,           0.0023783,            0.065371,            0.011392,            0.019598,            0.086491,           0.0014911,           0.0014911
                   4,             0.08624,            0.023789,            0.029132,           0.0033428,                   1,            0.010625,           0.0024093,            0.060818,            0.011795,             0.01925,            0.082885,            0.001885,            0.001885
                   5,            0.080503,            0.024091,            0.028309,           0.0033518,                   1,            0.012216,           0.0032953,            0.054007,             0.01266,            0.019135,            0.079277,           0.0022772,           0.0022772
                   6,            0.073604,            0.025766,            0.027369,           0.0033312,                   1,             0.02283,           0.0066378,            0.044597,            0.014015,            0.019061,            0.075668,           0.0026679,           0.0026679
                   7,             0.06599,            0.026411,            0.026607,           0.0033209,                   1,            0.099979,            0.036804,            0.038503,            0.014299,            0.018784,            0.072057,            0.003057,            0.003057
                   8,            0.065738,            0.028354,             0.02662,             0.36197,             0.43622,              0.4162,             0.18479,            0.033702,            0.013745,            0.018268,            0.068445,           0.0034446,           0.0034446
                   9,            0.064603,            0.025757,            0.026053,             0.43413,             0.44684,             0.50789,             0.24977,             0.03507,            0.012772,            0.018036,            0.064831,           0.0038305,           0.0038305
                  10,             0.06198,             0.02495,            0.026237,             0.36681,             0.59615,             0.47658,               0.213,            0.034745,            0.012114,            0.017859,            0.061215,           0.0042149,           0.0042149
                  11,            0.062215,            0.018638,            0.026676,             0.19522,             0.59842,             0.31711,            0.074429,            0.040889,            0.011384,             0.01817,            0.057598,           0.0045976,           0.0045976
                  12,            0.058774,            0.019753,              0.0261,             0.30137,             0.80769,             0.60922,             0.26542,            0.033162,            0.012374,            0.018144,            0.053979,           0.0049788,           0.0049788
                  13,            0.057504,            0.021815,            0.025433,              0.4188,             0.94231,             0.75698,             0.25822,            0.046105,            0.011064,            0.018741,            0.050358,           0.0053584,           0.0053584
                  14,            0.058129,            0.018937,            0.024118,             0.80084,             0.47059,             0.52355,             0.19253,            0.040716,            0.012139,            0.018452,            0.046736,           0.0057365,           0.0057365
                  15,            0.058433,            0.018992,            0.024515,              0.8376,             0.47059,             0.64355,             0.20164,            0.043334,            0.012392,            0.018141,            0.043113,           0.0061129,           0.0061129
                  16,            0.054193,            0.017052,            0.026073,              0.8567,             0.45588,             0.65893,             0.32025,            0.035937,            0.011975,             0.01788,            0.039488,           0.0064877,           0.0064877
                  17,            0.052551,            0.018693,            0.025203,             0.35695,             0.90385,             0.70571,             0.23352,            0.044326,            0.011982,             0.01727,            0.035861,            0.006861,            0.006861
                  18,            0.059727,            0.019413,            0.025079,             0.29822,             0.90385,             0.39614,             0.18588,            0.044101,            0.010555,            0.016606,            0.032233,           0.0072327,           0.0072327
                  19,            0.056521,             0.01756,            0.024496,              0.3059,             0.88328,             0.44424,             0.20731,            0.042943,           0.0099623,            0.016483,            0.028603,           0.0076028,           0.0076028
                  20,            0.049304,            0.019491,            0.023671,             0.36411,             0.79299,             0.62362,             0.23926,            0.043849,           0.0094003,            0.016273,            0.024971,           0.0079713,           0.0079713
                  21,            0.065396,            0.016368,            0.023155,             0.36357,             0.86538,             0.50875,             0.14053,            0.042919,           0.0083383,            0.016287,            0.021338,           0.0083383,           0.0083383
                  22,            0.052248,            0.016472,            0.024721,             0.34353,             0.85068,             0.64087,             0.20972,            0.052676,           0.0075579,            0.015858,            0.017704,           0.0087036,           0.0087036
                  23,            0.062461,            0.015459,            0.024078,             0.45286,             0.90837,             0.78273,             0.20517,             0.04262,           0.0075728,            0.015508,            0.014067,           0.0090674,           0.0090674
                  24,            0.050857,            0.017736,            0.022964,             0.23461,             0.78438,             0.40531,              0.1082,            0.057555,           0.0075994,            0.014787,             0.01043,           0.0094296,           0.0094296
                  25,              0.0624,            0.014907,            0.023482,             0.45087,             0.88462,             0.68228,             0.35327,            0.030579,           0.0080921,            0.014311,            0.009505,            0.009505,            0.009505
