Frame,x_5,x_6,x_11,x_12,x_13,x_14,x_15,x_16,y_5,y_6,y_11,y_12,y_13,y_14,y_15,y_16,label
Frame_1,240.6339722,155.7951965,225.4471283,163.8829651,280.8916931,128.5184631,255.4242554,148.8817444,403.4007568,397.4137573,512.6654663,510.7225647,572.916626,575.454834,660.9567261,664.6091919,sitting
Frame_2,240.2330322,154.0802765,227.3986206,164.8165283,278.0090332,126.615036,253.22229,148.4179993,402.007843,398.2172852,512.206604,511.0891418,571.319458,573.0297241,660.3623657,664.098999,sitting
Frame_3,238.8964691,154.2984924,225.5874329,164.6551819,276.9687805,125.4108734,254.0921631,148.6499176,400.271698,397.3375244,509.4896545,508.2123108,568.2470093,569.3544312,658.5783691,661.0704346,sitting
Frame_4,238.2389069,154.1895752,224.8690491,164.629837,273.0328979,127.3579636,254.4476776,146.2047424,399.3410339,398.4291687,507.8190918,507.6212769,563.6043701,567.0094604,656.5004272,659.4158936,sitting
Frame_5,237.2402649,155.0139923,224.5013733,165.2949219,273.4382935,128.1091919,254.8500671,145.9172668,398.5408936,397.3304749,506.9567566,506.5526123,562.793396,565.4642944,656.4879761,659.3478394,sitting
Frame_6,237.4514923,155.8886871,223.9067841,165.0922546,273.8616943,127.6749802,254.7987366,146.2951965,397.7434082,396.5007324,505.4743958,504.943634,562.8967896,564.9464111,656.0462036,658.6534424,sitting
Frame_7,237.5175934,155.6082458,224.3734741,165.4078217,274.7932129,127.5787582,254.8855133,145.9794159,397.8274536,396.9033203,505.9204102,505.5031738,563.0979614,565.2352905,656.87677,660.1330566,sitting
Frame_8,237.3029175,155.6207428,224.1506348,165.3383942,275.3276978,126.5093536,254.9229889,146.446167,397.1842041,396.1298828,505.5068359,505.1947632,562.725647,565.5703125,656.4503784,659.4524536,sitting
Frame_9,237.3449554,154.9622955,224.8145599,165.721817,275.3083191,126.4160309,254.6947784,146.6773376,397.4136353,396.872467,505.152771,505.0846863,562.0389404,565.2248535,656.5651245,658.9411011,sitting
Frame_10,237.6944275,155.4968872,225.0863953,166.0523071,275.8112793,126.3895874,254.5584412,146.4644165,397.0874329,397.0753479,505.1274414,505.247467,561.4423218,564.6226807,656.2991943,659.2050781,sitting
Frame_11,237.6520538,155.0475769,225.0995178,165.9293823,275.9761658,126.8016663,254.3662109,146.9344482,397.3556824,397.7284546,505.1213989,505.3006897,562.3997192,564.7860107,656.1895752,659.1750488,sitting
Frame_12,237.9275665,154.877594,225.5286255,166.0855865,275.0411072,126.9820328,254.7908325,146.0092163,398.0627747,398.6828613,505.7681885,506.0264282,561.5724487,564.0888062,656.5197144,659.6740723,sitting
Frame_13,238.3986206,154.8056335,225.8857727,166.1204834,274.4653931,126.6857986,255.0155945,146.1110077,397.8813782,398.8845215,505.7859192,506.1777344,561.3197632,564.100708,656.4863281,658.932251,sitting
Frame_14,238.1455383,154.9454803,225.9923401,166.4964905,273.7082825,127.0523682,255.3186646,145.3944855,398.0426331,398.8134155,505.9494324,506.2349548,561.5419922,563.9638062,657.3118896,660.7815552,sitting
Frame_15,238.0254822,154.9649506,226.0949249,166.6763153,273.8965454,127.0763855,255.1062622,146.0155945,398.0420837,398.8357544,505.7474976,506.1114502,561.8891602,564.7824097,657.3416138,660.9023438,sitting
Frame_16,237.0084991,154.5928192,225.8583527,166.8527832,273.1681213,127.0766525,255.2848969,147.4734192,398.2838135,399.7886963,505.4618225,506.1602783,561.1998291,564.6618042,657.1885986,659.1986084,sitting
Frame_17,236.876236,154.2252045,225.9696655,166.7935486,272.8434753,126.5654221,255.7166901,146.6583252,398.0029602,399.8554993,505.3398132,506.1163635,561.5576782,564.7814331,657.5545654,660.0541382,sitting
Frame_18,236.7124939,154.218689,225.7330017,166.6583099,272.9351501,126.7652969,255.5534668,146.0487366,397.5888062,399.4040222,505.4359436,506.2148132,561.9130249,565.2670898,657.1700439,660.480896,sitting
Frame_19,236.4572754,154.1267548,225.4968567,166.5270538,272.7798157,126.5106888,255.5558319,146.2582092,397.8492126,399.8704224,505.3144226,506.2103271,561.5637817,565.1166992,656.9642944,660.3264771,sitting
Frame_20,236.2281952,153.8178253,225.5242462,166.5119324,272.4771118,126.853447,255.6838684,145.3979187,398.9286804,400.5296021,506.4951782,507.2144775,561.7693481,564.8713379,657.7974854,660.8803101,sitting
Frame_21,236.4912415,154.0242157,225.6146088,166.602066,272.3834839,126.0571823,255.4439697,146.0560913,399.500824,400.8834534,506.6811829,507.3003845,561.5614624,564.8620605,657.3574829,659.4598389,sitting
Frame_22,235.9670563,153.8321228,225.6957245,166.893631,272.5708313,126.1436157,255.3626862,146.1500244,399.5802612,400.9395447,507.0088501,507.6333313,561.4445801,564.4111938,657.0800171,659.3515015,sitting
Frame_23,235.8384857,153.5728912,225.5266571,166.6942139,272.4219055,125.9410095,255.2100677,146.2147522,399.2933655,400.7932739,506.559845,507.2523499,561.1082764,564.3334961,657.2388306,658.6325684,sitting
Frame_24,235.9200134,153.5969543,225.24646,166.4173126,272.0842285,125.6957474,255.4750977,145.7011871,398.3361206,400.0202026,505.7692566,506.5799561,560.8187256,564.2348022,657.5840454,658.5134888,sitting
Frame_25,235.7774963,153.4413147,225.3462372,166.6670074,271.83078,125.7528381,254.8567963,145.6762238,398.8139038,400.7747803,505.6748657,506.6297302,560.7962646,564.3215332,657.4110107,658.0042725,sitting
Frame_26,236.0267487,153.2827759,225.6222076,166.6782532,271.8107605,125.5920486,255.010437,145.53508,398.9620056,400.8475952,505.7985229,506.6956787,561.5376587,564.864624,657.6817017,658.2069702,sitting
Frame_27,235.2116394,152.8760376,225.1239166,166.537674,272.1006775,125.6460114,254.2809143,146.175705,398.9054565,400.6640015,505.2869568,506.1361694,561.8879395,564.6893311,657.465271,657.5909424,sitting
Frame_28,234.6705627,152.554184,225.1657562,166.6003418,271.9190063,125.2975311,254.5401611,146.1642456,399.4395447,400.9891052,505.2449646,506.0788574,561.6802368,564.6964111,657.4620361,657.7227783,sitting
Frame_29,234.8487854,152.4094543,225.2001343,166.4224091,272.177948,125.4292755,254.4767914,146.3156738,399.7344666,401.0301208,504.8956604,505.6252441,561.8474121,564.5135498,657.4737549,657.4108887,sitting
Frame_30,234.8811951,152.5138092,224.9859161,166.1737671,272.2934875,125.0618744,254.4410858,146.2346649,399.645752,401.2415161,504.7694397,505.7186279,561.4719238,565.0026855,658.0606079,657.9313354,sitting
Frame_31,235.1855774,152.6096497,226.0036621,167.1042175,272.2237244,124.8359604,254.2374573,146.5717773,400.7373657,402.2626953,505.8996582,506.9124451,561.427063,565.7910767,658.3918457,658.0699463,sitting
Frame_32,235.1101227,152.5201874,226.026886,167.1182251,272.0371094,125.0181046,253.8647919,146.8816376,400.9223938,402.0779724,505.8967285,506.7886658,561.1665649,565.6653442,658.5046997,657.8811035,sitting
Frame_33,235.3356171,152.7236023,225.9678802,166.9967651,272.3208923,125.0214767,253.9472351,146.6309967,400.6562195,401.513092,505.7311707,506.4839172,562.1824951,566.2203369,658.7105713,658.0229492,sitting
Frame_34,235.3543396,153.150116,225.6295624,166.8329315,272.2171631,124.6359024,254.0506134,147.0316162,400.8210144,401.9328918,505.8546448,506.758606,562.2000122,566.8518066,658.2585449,656.9703369,sitting
Frame_35,235.2509766,153.3501892,225.2565308,166.6871643,272.4683533,124.6135406,253.6858673,146.9774017,401.2126465,402.2012329,505.7532654,506.650116,562.3480835,567.1446533,658.7163086,657.2084961,sitting
Frame_36,235.0679474,153.2662048,224.9992981,166.5081787,272.5059814,124.8787842,253.5391541,146.7969055,401.2127686,401.8853455,505.5627441,506.2980652,561.7745972,566.1549072,658.3610229,656.5889893,sitting
