Frame,x_5,x_6,x_11,x_12,x_13,x_14,x_15,x_16,y_5,y_6,y_11,y_12,y_13,y_14,y_15,y_16,label
Frame_1,255.9017792,131.1377563,234.2702179,150.4601135,275.5977783,98.25553131,260.0927429,122.4385223,441.7276917,440.3603821,564.0819092,562.7631836,656.4243774,653.6549072,737.6735229,732.8529053,squatting
Frame_2,255.9561462,131.4186096,234.2906036,150.5609894,275.682251,94.86628723,259.2446289,124.6098633,450.0684509,447.7764893,568.3494873,566.7245483,658.0905762,656.1367798,739.1662598,732.8274536,squatting
Frame_3,257.306427,131.9575958,234.2422028,149.9527588,279.8409729,92.49166107,262.1720886,125.3810959,456.7203064,455.3614807,570.7315674,569.5064697,658.1141968,656.6248169,739.9755859,733.4380493,squatting
Frame_4,256.6425171,131.7724304,235.0043793,151.2384644,284.2566223,94.62575531,258.7953796,126.2380142,461.0778809,459.4590149,572.305542,571.0481567,659.1873169,658.430542,739.651001,734.0546875,squatting
Frame_5,256.4077454,130.1431122,235.2075348,150.9477692,285.5991211,95.85979462,256.8902283,128.2897186,466.2984619,464.9623413,573.1502075,572.2869263,657.9150391,659.274292,739.5423584,733.99823,squatting
Frame_6,256.7597961,132.1168671,235.8635864,152.4032593,288.6367798,91.58880615,256.1308594,132.2890167,476.526886,474.8522949,578.3096924,577.5473022,658.526062,659.8372803,737.5249634,733.006958,squatting
Frame_7,256.0871582,131.4996643,235.9471588,152.5547943,289.3721313,90.86895752,253.4666595,133.9997559,479.565979,478.0832214,579.8632813,579.6837769,658.3706665,662.9779663,730.3007202,727.7024536,squatting
Frame_8,255.6854706,131.8406982,235.4737854,152.1604309,289.5389099,87.68396759,256.3626404,134.8179016,481.1446533,480.3979797,579.5980225,579.7179565,657.1951904,663.0818481,732.7140503,727.3093262,squatting
Frame_9,257.6912231,129.4037628,234.7033539,150.0154877,288.5855713,95.72438812,262.493927,127.1201172,479.4889832,476.0379944,578.2088623,576.3352661,666.2319336,665.5618896,736.8145752,728.6359863,squatting
Frame_10,256.099823,131.067337,236.5215302,152.5981293,290.0252686,88.24359131,256.5512695,132.9603424,479.468689,478.5777893,579.2946777,579.5397339,656.2304077,663.2519531,732.3763428,726.8131714,squatting
Frame_11,256.9743347,131.5708466,236.0633545,151.7229767,290.9653015,88.13898468,256.0469971,131.9437408,477.1198425,476.6144714,579.9232788,580.1447144,658.5534058,665.0813599,735.248291,728.1017456,squatting
Frame_12,256.2844849,131.816391,236.572113,152.6907806,293.6219482,88.68247986,255.4308014,131.4130249,474.2072449,473.4389343,580.913208,580.6245117,663.284668,666.7618408,736.6125488,729.2942505,squatting
Frame_13,256.8039551,132.2143402,236.0148468,152.0954285,293.4449463,87.47248077,255.7807159,132.275238,474.5800781,473.3352966,581.2068481,580.8016357,661.8244629,665.7446899,735.786377,727.8712158,squatting
Frame_14,256.8563843,131.4695129,236.6098328,152.1505585,295.901001,87.56710052,255.0416565,132.6781006,473.4907837,472.5758362,581.1177979,580.9447021,661.951416,666.5861206,736.2778931,728.1591187,squatting
