Frame,x_5,x_6,x_11,x_12,x_13,x_14,x_15,x_16,y_5,y_6,y_11,y_12,y_13,y_14,y_15,y_16,label
Frame_1,250.3934631,142.8276978,232.1059265,160.6073151,246.5342712,146.8869171,249.3359985,144.3500977,293.9425659,294.2804871,455.3058777,454.8121033,566.8346558,567.1646118,676.1478882,669.5024414,standing
Frame_2,250.5265503,143.489151,232.6273193,161.5521088,244.5783691,147.9714661,248.8336792,143.8014984,289.6596985,289.8725281,454.3411255,453.8656006,568.1056519,568.8165894,677.6755371,673.5914307,standing
Frame_3,250.6950073,143.1582794,232.6678772,161.2765198,243.5658722,148.0753021,247.4521942,144.102356,286.237915,286.2990723,452.3821106,451.855011,568.2684937,569.3587036,676.4368286,673.5964355,standing
Frame_4,251.5022125,143.2718048,232.9142761,161.1823425,242.652832,149.8136749,246.1761017,143.8142548,284.3998413,283.6101685,451.9064636,451.0610046,570.2237549,571.1379395,676.4891357,673.2642212,standing
Frame_5,255.120697,141.3103027,234.2762299,157.4829254,244.4682007,148.5966797,248.3821869,143.2255096,284.8024597,285.3981018,447.1016846,447.2437439,566.2941895,567.0557251,674.1122437,670.0979004,standing
Frame_6,255.0484467,142.0319519,234.7200165,158.4645538,244.7982788,149.0444641,249.3109131,142.8714142,281.8275146,282.8537292,446.3969421,446.5897827,567.9316406,568.5246582,677.2219849,670.8753052,standing
Frame_7,254.3635101,143.2353363,233.925354,158.3901825,243.5636444,151.3182678,249.585144,140.8448181,280.6072998,281.7094116,442.8847961,443.2916565,566.6595459,566.9721069,674.4696655,670.3904419,standing
Frame_8,254.5239868,143.5610809,234.4564972,159.0738373,242.7052002,152.4465942,249.8233337,140.908905,279.0847168,280.4769592,442.5274658,442.8995056,569.744751,569.2260132,676.4865723,671.1589355,standing
Frame_9,254.9205017,143.572403,234.8834991,159.2333984,242.0960388,153.3399963,250.2201538,141.7008362,278.5309448,279.5057068,441.8032532,442.0137329,570.2921753,569.6022949,677.3117676,670.8314819,standing
Frame_10,255.6522522,144.0654907,234.570694,158.8184052,242.4962006,153.2144623,250.6634827,142.5684052,277.1960449,278.7557983,441.3667297,441.8454285,570.7911987,570.8175659,677.3286743,671.227417,standing
Frame_11,254.9271393,145.4632874,234.3405914,161.1924591,242.6829224,153.4259186,249.225708,143.2594604,276.758606,279.4620056,443.044281,444.1091309,573.0021362,573.651123,676.7349243,670.7401733,standing
Frame_12,254.9824524,145.6540833,233.9378662,160.8946533,242.3753357,153.3025208,248.6517029,143.5567627,276.1152954,278.5653687,441.5898132,442.5218811,572.5217896,573.2761841,677.5053101,671.2296753,standing
Frame_13,255.2692719,145.9729462,233.9772949,160.9966736,242.1191254,153.7497101,248.4753418,143.785141,276.1186523,278.1335144,441.4651489,442.1748657,572.4070435,572.861145,676.907959,670.8310547,standing
Frame_14,256.0624695,146.3123322,234.8927155,161.5836487,242.5450897,154.6807861,248.5638428,143.9412994,276.7081604,278.8129883,442.8224487,443.530304,573.4591064,573.5375977,676.809021,671.1976318,standing
Frame_15,256.3858337,146.6746826,235.0078735,161.6170349,243.3511658,154.6568451,248.7065735,143.9425354,277.1856384,279.0409546,442.5657349,443.2475891,572.5062866,572.5593262,676.1002197,671.182373,standing
Frame_16,256.549408,146.8522644,234.7539368,161.284256,243.4037323,154.9752655,248.8032532,144.1899414,277.0910645,278.7115173,442.0167236,442.5824585,572.5565796,572.2032471,676.7364502,671.2589722,standing
