Frame,x_5,x_6,x_11,x_12,x_13,x_14,x_15,x_16,y_5,y_6,y_11,y_12,y_13,y_14,y_15,y_16,label
Frame_1,254.005127,271.034729,183.8570404,194.661911,283.0838013,301.7303467,217.84729,231.1660919,407.7180481,427.7341003,523.5222168,536.3865967,545.9695435,577.7297974,616.583374,670.862915,squatting
Frame_2,255.5311432,269.5712891,184.1832428,192.7848816,285.5716248,303.0480347,217.5308838,229.9125366,413.4382629,430.5961609,528.2545776,539.4740601,549.1480713,576.4923096,620.3689575,670.2593384,squatting
Frame_3,251.8704071,270.9268799,181.6447601,194.275528,283.1963806,304.1056824,217.1574707,230.302002,416.0555725,434.3835144,532.0097046,543.890625,549.0594482,577.7919312,620.2522583,670.6913452,squatting
Frame_4,253.006546,267.8849792,183.7018585,193.1923523,285.1229248,303.8102417,217.8790741,229.9190826,419.4368896,436.2186584,534.34375,545.5057983,550.7141724,577.3939819,621.8535156,669.9102173,squatting
Frame_5,250.1463776,266.6092224,182.9893494,193.0926361,283.9683838,302.5350647,217.9863434,229.3424377,422.4590149,439.0999146,536.8800049,547.8344727,553.237793,578.1768799,624.0631714,669.2790527,squatting
Frame_6,260.4595032,263.664032,189.8508759,189.9421234,280.3513184,295.275116,217.3842773,234.7479706,430.1990967,442.0953674,538.7398682,548.0479736,560.569458,579.5648804,629.5174561,668.617981,squatting
Frame_7,260.5655823,261.6850281,191.1732178,189.8173218,279.5460815,293.2713013,217.0839844,235.2206268,433.4981384,443.2958679,541.8496094,550.0725708,561.2012939,577.2421265,631.0599365,667.3123169,squatting
Frame_8,260.711853,260.6627502,190.8982697,188.4463501,279.525177,292.0197754,217.3397369,236.4637604,436.9480896,446.2511597,543.5288696,551.2126465,562.3414917,576.1565552,632.4180298,666.112854,squatting
Frame_9,260.8330078,258.7879944,191.3667603,187.7151794,279.2848816,291.2405396,217.2692719,235.9012756,438.8399963,448.2420349,544.343811,551.9508057,562.8944092,575.4173584,634.5865479,665.6461182,squatting
Frame_10,260.4578247,257.9528503,191.2055359,187.3246613,279.8468933,291.6867676,218.0147095,235.7813263,439.5486755,448.1199646,545.109314,552.2051392,564.1489868,574.6099243,636.8096313,664.8909302,squatting
Frame_11,257.5761719,257.3223572,189.708847,187.6253815,278.6829224,291.9025269,217.5008392,235.6044159,439.6843872,448.4081421,546.375,553.8751221,562.6391602,574.3474121,635.5262451,665.0482788,squatting
Frame_12,256.4561157,256.006073,189.5886688,187.4612732,280.1932068,293.0472717,218.7175903,234.9350891,439.7530823,449.1503906,546.6990967,554.4633789,563.6056519,574.6787109,636.9967651,664.6871338,squatting
Frame_13,256.2747192,256.4429016,189.3098907,187.5878448,279.59198,292.7191772,219.4337463,236.1066742,440.118042,448.9719849,547.4623413,554.9146118,564.3735352,574.7915039,637.449585,664.5447998,squatting
Frame_14,256.360199,255.1901398,189.5900116,186.9431,279.6340942,292.389801,220.0354156,237.269043,441.5704651,449.2833557,547.9891968,554.6132202,567.0996704,574.6616821,640.2965698,663.8063354,squatting
Frame_15,255.1278076,254.5922546,188.6061401,186.6811371,278.743103,292.3371277,218.7567444,237.8805847,442.4966125,449.9638367,548.6002197,555.151062,566.5181885,574.4463501,639.6613159,663.9620361,squatting
Frame_16,254.4768066,254.0806274,188.3465881,186.443512,279.959259,293.1615295,219.3283539,237.8658752,443.012146,450.4953613,549.1427612,555.8692017,565.0091553,573.5525513,639.204895,664.1706543,squatting
Frame_17,254.8274689,253.4784546,189.0754089,186.4677734,280.207489,293.0874634,219.7113495,238.1724243,442.9062195,449.9503784,549.3068848,555.8701172,565.190979,573.4432373,639.7426758,664.3348389,squatting
Frame_18,254.2253113,252.8048553,188.9881439,186.1958466,280.7969971,293.4346313,220.0453796,237.5455475,442.6069946,448.9979553,549.3220215,555.6347656,565.4315796,572.8526611,640.440918,664.0943604,squatting
Frame_19,254.6108856,252.4169006,189.3335419,186.0871124,280.4015808,292.8326721,219.2593842,237.5222473,443.2460632,449.6824036,549.4751587,555.6789551,566.5269165,573.5222778,640.6080322,664.0282593,squatting
Frame_20,255.5502625,251.6686707,191.0233307,186.4632721,282.7315369,293.890625,220.3282318,237.3197021,443.3607178,449.960022,549.5394287,555.8978882,566.5496216,573.6254883,640.7081909,664.0283813,squatting
Frame_21,255.2929077,251.5988312,191.3216095,186.8449097,282.3185425,293.6375427,220.5394135,237.1710205,443.092865,449.7467041,549.4110718,555.7581787,566.7055664,573.6497803,641.1363525,664.2522583,squatting
Frame_22,255.1245575,251.8352661,191.1428375,186.9302673,282.6885681,294.4390259,220.8115387,237.1284485,442.7564392,449.4029846,549.3547363,555.6690063,566.4490967,573.0579834,641.5366821,663.9973145,squatting
Frame_23,255.1524506,251.6273499,191.4459076,186.9480133,282.5989685,294.1506653,221.2610016,236.76091,442.6118164,448.8274841,549.4553223,555.4937744,567.546814,572.9260254,642.8717041,663.6300049,squatting
Frame_24,254.6391602,251.5977631,191.219162,186.8146515,283.3074646,294.5906677,222.2240753,236.4078979,441.917572,447.7412415,549.6508789,555.550354,568.6154175,573.4330444,643.4278564,663.4922485,squatting
Frame_25,254.3288574,251.1143494,191.5368347,186.9704132,284.4097595,295.7545471,222.1655884,236.1138153,441.9648743,447.572937,549.9005127,555.697998,568.9567261,573.1925659,643.401062,662.6737671,squatting
Frame_26,254.1331177,251.7485352,190.4467773,186.5280304,283.2247925,294.9709473,221.9689636,236.5688171,441.4540405,448.560791,549.2608032,555.729126,568.118042,573.9801636,642.2672119,663.3903198,squatting
Frame_27,254.0619049,251.7754211,190.8591309,186.8751526,283.7834167,295.4362183,222.9699707,236.3700867,440.2365723,447.7617493,548.7540283,555.4719849,568.1381226,574.3034668,642.5370483,663.1929321,squatting
Frame_28,253.580246,251.9778595,190.2328033,186.8227234,283.183136,295.3670349,222.8838654,236.6307373,439.8880615,447.5443726,548.5056152,555.2578125,567.3573608,573.788269,642.6888428,663.6939697,squatting
Frame_29,253.2855377,251.6424255,190.5121002,187.0719147,283.6548462,295.5810547,223.3460236,236.723587,439.6682434,447.449707,548.5217896,555.3617554,567.2399902,573.852478,642.9572144,663.7662964,squatting
Frame_30,253.129776,251.6181183,190.5171814,187.1209869,284.047821,295.6947937,223.9324493,236.1835022,439.9003906,447.5531921,548.9350586,555.7337036,567.7180176,574.2313232,643.6376343,663.9317017,squatting
Frame_31,250.4062195,252.0859222,183.7191772,182.8463745,282.3247375,293.3529968,219.9394531,230.247345,439.029541,448.8339539,549.7352295,556.9692383,565.3551025,576.3475342,642.2003784,670.3206787,squatting
Frame_32,250.8890228,251.6529388,183.5196838,181.8662109,282.7009888,293.3141785,219.8512421,230.1998138,439.6569519,448.7873535,550.34729,557.1256104,565.8867188,575.4730225,644.0438843,670.2440796,squatting
Frame_33,251.1135254,251.2378693,184.4492188,182.1808319,283.5088196,294.1751709,220.5904236,230.3651886,439.5503235,448.1989441,550.7097168,557.2893677,566.5686646,575.2540894,645.220459,669.8077393,squatting
Frame_34,251.1081085,251.100708,184.249939,182.1572113,282.3523865,293.0865173,219.7874756,230.1144714,439.6645508,448.0404358,550.5802002,556.9477539,567.1317749,575.3659058,645.2609863,670.0115967,squatting
Frame_35,253.3773651,249.9571686,191.0465851,186.365799,282.0874634,293.0250549,221.8142548,234.3422852,440.9997864,446.6998596,549.5501099,555.1760864,571.9454956,575.1605835,648.1425781,664.2561035,squatting
Frame_36,254.0125885,249.4633484,191.2689209,185.6986847,282.2983093,292.6393433,221.4008026,233.9281769,441.3385315,446.8427734,549.6373901,555.1509399,571.7950439,574.840332,648.649292,664.4537964,squatting
Frame_37,253.8249512,249.3051605,191.0263519,185.6600952,281.679718,292.1516113,220.7770691,233.6981201,441.505127,447.5042419,549.6596069,555.3790283,571.7748413,575.1879883,648.2069092,664.7520142,squatting
Frame_38,253.1172485,249.2236023,189.8139496,185.2411652,280.313446,291.5667419,219.2982025,234.3227844,441.9555359,448.2066956,549.9985352,555.8379517,570.9780884,574.9853516,647.7140503,665.6674805,squatting
Frame_39,253.4686279,249.0036316,190.250824,185.1657257,280.6754456,291.4882202,219.4687653,234.3139496,441.9239502,448.0848389,549.8053589,555.6401367,570.7992554,574.9321289,647.7421265,665.7669067,squatting
Frame_40,252.9467468,249.3750763,189.7055359,185.3053284,280.6321411,291.613678,219.2796173,234.3899994,441.9200134,448.4363708,549.822876,556.0147705,568.9714355,574.9678955,645.0205688,665.6881104,squatting
Frame_41,252.9915314,249.1357574,189.9041901,185.2860107,279.7394409,290.9403992,219.2574463,234.4152069,442.239563,448.0480042,550.1199951,555.8973999,570.3018188,575.1314697,646.8846436,666.022583,squatting
Frame_42,253.3539886,248.5294037,190.1918945,184.8973694,280.127655,291.0080872,219.5350189,234.7227631,443.0176086,447.8710938,550.394043,555.6311035,571.4354858,574.9833374,648.9001465,666.4143066,squatting
Frame_43,253.7864075,248.3021545,190.5273743,184.6630554,279.929657,290.542511,219.9624634,234.8315582,442.9460449,447.5265808,550.1958008,555.2775269,571.5159912,574.6397705,650.300354,666.8690796,squatting
Frame_44,253.4190216,248.6659546,189.6412964,184.3909912,279.3871765,290.6876221,219.5376587,234.8295135,442.7323914,447.8993225,550.3012695,555.6146851,570.7593994,574.2036133,649.6068726,666.5587769,squatting
Frame_45,253.5393066,249.3490295,189.3890076,184.3681946,279.4155579,290.7314758,219.8213043,234.6361084,441.8940735,447.9581909,549.7227783,555.4824219,569.6652832,574.1013184,648.6362305,666.7376099,squatting
Frame_46,253.591156,249.392746,189.2498627,184.1927032,279.8571167,291.0619812,219.2979736,234.1497498,442.1514893,448.0244446,549.6014404,555.3204346,569.1638794,573.7896118,648.0112305,666.6447144,squatting
Frame_47,253.8028107,249.3718567,189.5997162,184.2604675,280.9253235,291.724884,219.8129578,233.866333,442.2400208,448.2965088,549.8522949,555.6618652,568.9428711,573.494751,648.2374268,666.4362183,squatting
Frame_48,253.8722229,249.4901123,189.3633118,183.9935913,280.9771423,291.8883667,220.1792603,234.196228,442.0514526,447.7373352,549.7950439,555.4147339,569.0177002,573.0811768,648.5043335,666.2734375,squatting
