Frame,x_5,x_6,x_11,x_12,x_13,x_14,x_15,x_16,y_5,y_6,y_11,y_12,y_13,y_14,y_15,y_16,label
Frame_1,253.1421661,259.3939209,223.8426666,230.6182404,263.4373474,264.5835876,227.3776398,242.532196,277.9349976,284.6836548,414.1966858,419.5100403,522.0328369,536.5232544,616.1655884,661.1195068,standing
Frame_2,251.0290222,259.1046448,224.0370178,232.029007,263.1013489,264.7150879,225.8992462,240.9642487,275.5536194,283.7716064,411.7262573,417.827179,520.7977295,536.6489258,615.8657227,661.8364868,standing
Frame_3,251.6610718,258.2181702,227.1663666,234.057785,263.1752319,263.1041565,224.3922272,241.6363068,272.7705994,279.6233521,410.7663269,416.5026855,520.1581421,538.0760498,610.3555908,661.4127808,standing
Frame_4,251.8423767,258.4740601,229.0358124,235.854248,262.3115234,262.804718,224.4696198,240.4019623,270.5834656,278.0763245,408.5336609,414.3222046,520.2062988,536.9364624,614.2357178,661.0681763,standing
Frame_5,249.456192,259.1899414,228.8287506,237.8546753,259.5886536,261.737854,226.8520966,241.8834991,269.3243713,276.25177,408.9949036,414.132019,523.7304688,536.6802368,622.0147705,661.6403198,standing
Frame_6,253.6365204,264.0150452,234.0886078,243.2562866,253.4542542,262.7781677,230.0912018,241.3637695,268.4338379,274.1726074,409.2832031,413.3920593,530.3720703,535.8495483,640.6578979,660.1702271,standing
Frame_7,255.1824646,262.9977417,237.0819397,244.0503693,253.2602234,260.9930115,233.1806793,242.3669281,265.6717834,271.1863708,408.7348328,412.4258728,531.0893555,534.8014526,644.8829956,658.7851563,standing
Frame_8,254.6290741,262.8315735,237.9134674,245.1292877,252.0062256,259.6227417,232.8179932,241.4343872,263.890686,269.6280823,408.7791443,412.4692383,532.1464844,535.553833,645.869751,658.3183594,standing
Frame_9,256.1856995,260.6569824,241.1482849,245.358902,252.8319702,257.5477905,236.2880096,240.3291626,261.598114,267.4406433,407.5198059,411.09198,531.7134399,533.4620972,648.6928101,655.9361572,standing
Frame_10,256.1882935,260.2017822,242.345871,246.1981659,251.6534271,255.906662,235.6643219,239.4387054,260.8868408,266.8241577,407.1809998,410.7912292,532.9265747,534.7384033,650.3674927,657.137146,standing
Frame_11,254.9897461,261.2759705,241.8353882,247.2775269,250.8256836,255.9304352,235.1072845,238.9932251,258.8944702,265.318512,405.9208984,409.6524658,532.7337646,534.9656372,649.9869385,656.9489136,standing
Frame_12,252.918335,261.3857117,241.6551514,249.1249695,248.6701965,255.2775574,234.1689758,239.7166138,257.8474426,265.1440125,408.5742798,412.772583,534.9077148,538.1988525,651.1340942,659.2705688,standing
Frame_13,252.8200226,261.5241699,242.1253357,249.8276825,247.6334839,254.3311462,234.7187805,240.6886292,256.6443481,263.7026978,409.1044006,413.1669006,535.324585,538.383606,651.3660889,659.4492188,standing
Frame_14,250.1512299,257.408905,242.7549438,249.1916504,247.432785,252.3969421,236.188797,243.973114,254.746521,263.5808716,407.4740601,412.2789612,534.2214966,538.5414429,649.3195801,658.1984253,standing
Frame_15,248.4117432,255.3143616,242.865799,249.7511902,244.2775879,249.0361633,234.4388733,243.1275024,252.8231506,261.7494202,406.947113,411.3339844,535.4065552,538.8422241,648.1835938,657.6173706,standing
Frame_16,248.884552,257.3432617,242.5643463,250.1766052,245.2266388,250.9138794,233.5879211,244.4666138,255.0955963,263.8989868,407.844635,412.6669312,534.2648926,539.3480835,647.5720825,658.1046753,standing
Frame_17,248.0457458,258.4058838,241.3134308,250.2841644,244.6315918,250.5996704,233.1988983,244.2714081,256.4493103,265.8435669,408.8742065,413.9259644,534.4649658,540.2524414,647.2178345,658.4945679,standing
Frame_18,248.1854553,259.1965332,241.2041779,250.6536865,243.6036682,250.0502625,232.176239,243.0766144,257.4729309,267.8342285,408.8518677,414.2791443,533.9787598,540.6922607,647.7684937,659.2194824,standing
Frame_19,248.2523041,259.4264832,241.5684509,251.1603546,242.8762512,249.4678345,232.1555939,242.9498291,257.7553101,268.2833862,409.6392212,415.0928345,534.0974731,541.0823975,648.0636597,659.197998,standing
Frame_20,248.1531982,258.5193787,241.8664246,250.9096069,242.0083923,248.4521027,232.8191071,244.1201172,257.9954834,268.4341125,410.411438,415.7996826,535.4822388,542.0501099,649.4990845,659.9072876,standing
Frame_21,247.7535706,256.217041,242.8212738,251.6780548,240.1357727,246.6472321,231.6344147,241.7718353,257.2887268,268.0568542,414.0007019,419.4079285,538.2643433,544.6508179,651.3741455,661.4805908,standing
Frame_22,248.2466125,257.5525818,242.7053833,251.0746002,240.364502,247.2592468,231.3026733,243.333252,258.8242798,268.5166321,411.1921692,416.2497253,535.8846436,541.7400513,649.7025757,659.7612915,standing
Frame_23,248.2697449,257.4102173,242.423233,250.5022736,240.4550629,247.064209,231.1916199,243.2004242,260.004303,269.6074219,410.8685303,415.9176025,536.4143066,542.2505493,650.1310425,660.0551147,standing
Frame_24,248.3176727,257.354187,242.6062469,250.5631714,240.5229645,247.4055634,230.8439331,243.6090698,260.1152954,268.8252258,410.4293518,415.0297852,536.4702759,541.6639404,650.0968628,659.8605347,standing
Frame_25,247.1869659,257.1211853,240.6499329,249.7484741,239.2794647,247.7816162,229.4076996,241.4618683,259.1078796,269.8079529,413.6897888,419.1989441,537.977356,544.8662109,652.2039795,661.7283936,standing
Frame_26,246.513092,256.7257996,240.2734528,249.6142426,238.9631653,247.6757813,228.3739624,241.3201447,259.3757019,270.0203247,414.4165039,419.9415283,538.3272095,545.4887085,651.8140869,662.0213623,standing
Frame_27,247.3131256,256.004364,241.4231873,249.7415466,239.0138092,247.5033569,228.4884949,241.4253998,259.8644104,270.565094,414.1763306,419.7653809,538.1732788,545.3452148,651.9430542,661.7835083,standing
Frame_28,246.8161469,256.2670593,240.7998505,249.5926208,238.4915161,247.2551422,228.4086914,240.6887817,260.2486877,270.6687317,413.9722595,419.3672791,538.7271729,545.5091553,652.7420654,662.3139038,standing
Frame_29,246.5384369,256.3916016,240.2428131,249.2283325,238.1402435,246.9721069,228.0671234,239.9492188,260.3270264,270.8088074,413.9187012,419.3690796,538.6338501,545.600769,652.2811279,662.1907959,standing
Frame_30,246.141861,256.4602661,239.6933441,249.0120392,237.5224915,246.7335358,227.822052,239.7867279,260.5352173,270.9169617,414.0183716,419.4150696,538.1881104,545.2528076,651.8500366,661.9882813,standing
Frame_31,245.5589447,256.4887085,239.4363556,249.1313629,236.8848877,246.6071014,226.7462921,240.453537,260.5815125,270.5637817,413.6878357,418.9198303,538.8741455,545.9833374,653.1699829,663.8178711,standing
