Node1,Node2,Distance
1,2,28.30194339616981
1,6,45.254833995939045
2,4,41.048751503547585
2,8,40.049968789001575
3,5,22.20360331117452
4,7,38.0
5,6,39.0
5,9,38.0
6,9,42.720018726587654
6,10,57.982756057296896
7,8,39.0
7,11,24.351591323771842
8,10,24.758836806279895
9,12,29.274562336608895
10,13,40.311288741492746
10,14,44.553338819890925
11,13,41.88078318274385
11,16,51.088159097779204
12,14,52.92447448959697
12,15,44.94441010848846
13,16,42.5205832509386
13,17,46.69047011971501
14,17,42.44997055358225
14,18,59.39696961966999
15,18,39.20459156782532
15,19,45.044422518220834
16,20,39.319206502675
17,21,45.967379738244816
17,23,38.47076812334269
18,19,39.11521443121589
18,22,26.40075756488817
20,23,41.012193308819754
21,22,23.021728866442675
21,23,50.00999900019995
